term,synthetic_sentence,sentiment
SRI 펀드,최근 SRI 펀드가 기대에 미치지 못하는 투자 수익률과 일부 기업의 그린워싱 논란으로 인해 투자자들 사이에서 신뢰를 잃고 있다는 지적이 이어지고 있습니다.,negative
차등의결권제도,차등의결권제도는 소수 주주의 의사를 무시하고 대주주에게 과도한 권한을 부여한다는 점에서 기업 지배구조의 투명성을 저해한다는 비판이 이어지고 있습니다.,negative
총사업비관리제도,"총사업비관리제도가 지나치게 경직적으로 적용되면서 예산 집행의 유연성이 떨어지고, 사업 추진에 큰 걸림돌이 되고 있다는 비판이 잇따르고 있다.",negative
콜 오버,"최근 일부 기업에서 도입된 콜 오버 제도가 직원들에게 불필요한 긴장감을 조성하고, 업무 효율성을 오히려 저해한다는 비판의 목소리가 커지고 있습니다.",negative
일시매매정지,"최근 주식시장에서 일시매매정지가 발동되면서 투자자들은 큰 혼란과 불안을 겪고 있으며, 시장 신뢰도 역시 크게 하락했다.",negative
가교은행,최근 금융 당국이 설립한 가교은행은 부실 자산을 제대로 처리하지 못해 시민들의 불안과 불신을 더욱 가중시키고 있습니다.,negative
초과확률곡선,최근 연구에서 사용된 초과확률곡선은 데이터 해석에 혼란을 주어 오히려 정책 결정에 부정적인 영향을 미쳤다는 비판이 제기되고 있습니다.,negative
펀드 상호인증제,최근 도입된 펀드 상호인증제가 기대와 달리 복잡한 절차와 낮은 투자자 신뢰도로 인해 금융 시장의 효율성을 저해한다는 비판이 이어지고 있습니다.,negative
톱다운 제도,최근 도입된 톱다운 제도가 현장의 다양한 의견을 무시하고 일방적인 결정만을 강요해 많은 구성원들 사이에서 불만과 반발을 불러일으키고 있습니다.,negative
파생상품,최근 금융 시장에서 파생상품의 위험성이 다시 한 번 부각되며 투자자들에게 큰 손실을 안겨주는 부정적인 결과를 초래하고 있다는 지적이 이어지고 있습니다.,negative
FTA,최근 체결된 FTA는 국내 중소기업에 불리한 조건이 많아 경제적 피해가 우려된다는 비판이 잇따르고 있습니다.,negative
인버스 ETF,"최근 투자자들 사이에서 인버스 ETF에 대한 무분별한 투자가 늘어나면서, 큰 손실을 본 사례들이 잇따라 발생하고 있어 위험성에 대한 경고의 목소리가 커지고 있다.",negative
거시 건전성 정책,최근 정부가 시행한 거시 건전성 정책은 금융 시장의 불안정을 충분히 해소하지 못했다는 비판이 잇따르고 있다.,negative
포워드 가이던스,최근 중앙은행의 포워드 가이던스가 시장 참여자들에게 혼란을 초래하며 오히려 경제 불확실성을 키우고 있다는 지적이 잇따르고 있다.,negative
조정관세,최근 정부가 도입한 조정관세는 수입업자들의 부담을 가중시키고 소비자 가격 인상으로 이어져 비판의 목소리가 커지고 있다.,negative
입지규제최소지구,최근 논란이 되고 있는 입지규제최소지구는 무분별한 개발을 조장해 주거 환경 악화와 교통 혼잡 등 시민들의 삶의 질을 심각하게 저해하고 있다는 비판을 받고 있습니다.,negative
내생적 성장이론,"최근 경제학계에서는 내생적 성장이론이 현실의 복잡한 경제 상황을 충분히 설명하지 못하고, 성장의 한계점을 간과한다는 비판이 거세게 일고 있다.",negative
노인수발보험제도,최근 시행된 노인수발보험제도는 복잡한 절차와 낮은 지원금으로 인해 많은 노인과 그 가족들에게 실질적인 도움이 되지 않는다는 비판이 잇따르고 있다.,negative
태스크포스,최근 출범한 태스크포스가 실질적인 성과를 내지 못하고 혼란만 가중시키고 있다는 지적이 이어지고 있습니다.,negative
사회책임투자,"최근 논란이 되고 있는 사회책임투자는 기대와 달리 기업의 실질적인 변화를 이끌지 못하고, 오히려 형식적인 투자로 전락했다는 비판이 커지고 있습니다.",negative
소상공인 담보부 특별보증제도,최근 시행된 소상공인 담보부 특별보증제도는 까다로운 심사 기준과 복잡한 절차로 인해 정작 도움이 필요한 소상공인들에게 실질적인 혜택을 주지 못한다는 비판이 끊이지 않고 있습니다.,negative
탄력형 생명보험,최근 금융 소비자들 사이에서 탄력형 생명보험이 예상과 달리 불투명한 수익 구조와 과도한 수수료 문제로 인해 신뢰를 잃고 있다는 비판이 제기되고 있다.,negative
플렉서블 디스플레이,"최근 출시된 플렉서블 디스플레이는 내구성 문제와 잦은 화면 손상으로 인해 소비자들로부터 많은 불만을 사고 있어, 기술력에 대한 신뢰가 크게 떨어지고 있다.",negative
자본화율,"최근 부동산 시장에서 자본화율이 지속적으로 하락하면서 투자자들의 기대 수익이 줄어들고, 시장의 전반적인 불안감이 커지고 있다.",negative
투자경고종목 지정제도,최근 투자자들 사이에서 투자경고종목 지정제도가 불투명하고 일관성 없이 적용된다는 비판이 제기되며 시장 신뢰를 저해하고 있습니다.,negative
규모의 경제,최근 기업들의 무분별한 확장으로 인해 규모의 경제가 오히려 비효율과 조직 내 갈등을 초래한다는 비판이 제기되고 있습니다.,negative
ICT 지수,최근 발표된 ICT 지수는 기대에 미치지 못하는 수치를 기록하며 우리나라의 디지털 경쟁력 약화에 대한 우려를 낳고 있습니다.,negative
비차익거래,"최근 금융 시장에서 비차익거래가 빈번하게 발생하면서 투자자들의 불안감이 커지고 있으며, 이는 시장의 신뢰도를 심각하게 저하시킨다는 비판을 받고 있습니다.",negative
세계경제전망,"최근 발표된 세계경제전망은 글로벌 경기 둔화와 불확실성 증가를 반영하며, 향후 경제 성장에 대한 우려를 더욱 키우고 있다는 비판이 제기되고 있다.",negative
직장폐쇄,노사 갈등이 심화되면서 기업 측의 일방적인 직장폐쇄 결정은 근로자들의 생계를 위협하고 사회적 불안감을 더욱 증폭시킨다는 비판이 나오고 있습니다.,negative
아시아인프라투자은행,아시아인프라투자은행이 최근 프로젝트 관리 부실과 자금 운용의 투명성 부족으로 국제 사회에서 신뢰를 잃고 있다는 비판이 잇따르고 있다.,negative
전자채권,최근 도입된 전자채권 시스템이 잦은 오류와 해킹 우려로 인해 기업과 투자자들 사이에서 신뢰를 잃고 있다는 지적이 제기되고 있습니다.,negative
형식승인제도,최근 도입된 형식승인제도가 지나치게 복잡하고 까다로워서 기업들의 부담을 가중시키고 있다는 비판이 커지고 있습니다.,negative
과세전적부심사제,최근 도입된 과세전적부심사제는 복잡한 절차와 불투명한 심사 기준으로 인해 납세자들에게 큰 불편과 혼란을 초래하고 있다는 비판이 끊이지 않고 있다.,negative
통화옵션,"최근 투자자들 사이에서 통화옵션의 변동성이 지나치게 커져 예측이 어려워지고, 이로 인해 큰 손실을 입는 사례가 늘어나면서 통화옵션 상품에 대한 신뢰도가 급격히 떨어지고 있다.",negative
일중매매,"최근 투자자들 사이에서 일중매매가 급증하고 있으나, 무분별한 단기 수익 추구로 인해 큰 손실을 입는 사례가 잇따르면서 우려의 목소리가 커지고 있습니다.",negative
선박투자회사제도,"최근 선박투자회사제도가 불투명한 운영과 투자자 보호 미흡으로 인해 많은 비판을 받고 있으며, 업계 신뢰도 하락의 주된 원인으로 지적되고 있다.",negative
도매은행제도,최근 도매은행제도가 대형 금융사들의 이익만을 우선시하며 중소기업과 개인 고객에게 불리한 환경을 조성한다는 비판이 이어지고 있습니다.,negative
고용없는 성장,최근 경제 지표가 개선되고 있음에도 불구하고 고용없는 성장이 지속되면서 많은 시민들이 일자리 부족과 소득 불균형에 대한 불안감을 호소하고 있습니다.,negative
종가매매,"최근 종가매매가 투자자들에게 불공정한 이익을 제공한다는 논란이 커지면서, 시장의 신뢰도가 크게 하락하고 있습니다.",negative
일용직근로자 고용보험,"최근 정부의 일용직근로자 고용보험 정책이 실질적인 현장 적용에 미흡하다는 지적이 이어지면서, 일용직 노동자들의 불안정한 고용 상황이 더욱 악화되고 있다는 우려가 커지고 있다.",negative
협정요율,"최근 발표된 협정요율이 지나치게 높게 책정되었다는 지적이 이어지면서, 관련 업계에서는 불공정한 거래 환경이 조성되고 있다는 불만이 확산되고 있습니다.",negative
공적부조,최근 조사에 따르면 공적부조가 실질적인 빈곤 해소에 큰 도움이 되지 못하고 있다는 비판의 목소리가 커지고 있다.,negative
차별관세,최근 정부가 도입한 차별관세 정책은 국내 기업들의 경쟁력을 약화시키고 국민 경제에 심각한 부정적 영향을 미친다는 비판이 끊이지 않고 있다.,negative
거래거절행위,최근 일부 대기업의 거래거절행위가 중소기업의 경영에 심각한 타격을 주고 있다는 지적이 잇따르고 있어 사회적 비난이 커지고 있습니다.,negative
취업후 상환 학자금대출 제도,최근 대학생들 사이에서 취업후 상환 학자금대출 제도가 빚 부담만 가중시키고 있다는 비판의 목소리가 높아지고 있다.,negative
한계기술대체율,최근 산업 현장에서 한계기술대체율이 지속적으로 하락하면서 기업의 혁신 역량 저하와 생산성 감소가 우려된다는 비판이 제기되고 있습니다.,negative
한계대체율,최근 경제 정책 논의에서 한계대체율이 지나치게 경직적으로 적용되어 소비자들의 실제 선택을 제대로 반영하지 못한다는 비판이 제기되고 있습니다.,negative
균형 재정 승수,"최근 발표된 보고서에 따르면, 균형 재정 승수가 기대에 미치지 못하고 경기 회복에 실질적인 도움을 주지 못했다는 비판이 제기되고 있습니다.",negative
고정환율제도,최근 전문가들은 고정환율제도가 환율 변동성에 대한 유연한 대응을 어렵게 만들어 경제 위기 시 심각한 부작용을 초래할 수 있다고 지적하고 있습니다.,negative
토지수용권,최근 정부의 토지수용권 남용으로 인해 많은 주민들이 정당한 보상도 받지 못한 채 오랜 터전을 떠나야 하는 등 심각한 사회적 반발이 일고 있습니다.,negative
전자무역,"최근 전자무역 시스템의 잦은 오류와 정보 유출 사고로 인해 많은 기업들이 큰 피해를 입으면서, 전자무역에 대한 신뢰도가 심각하게 하락하고 있습니다.",negative
근로소득세액공제제도,최근 근로소득세액공제제도가 실제 저소득층에게 큰 도움이 되지 못한다는 지적이 이어지면서 많은 근로자들이 불만을 표출하고 있습니다.,negative
위안화적격외국인기관투자가,최근 위안화적격외국인기관투자가 제도가 불투명한 규제와 제한적인 투자 기회로 인해 해외 자본의 신뢰를 잃고 있다는 지적이 이어지고 있습니다.,negative
전자거래기본법,"최근 개정된 전자거래기본법이 기업들에게 과도한 규제를 부과한다는 비판이 제기되면서, 업계에서는 이 법이 오히려 전자상거래 시장의 성장을 저해할 수 있다는 우려가 커지고 있습니다.",negative
캐즘,최근 투자자들 사이에서 캐즘 단계에서 많은 스타트업들이 기술 확산에 실패하며 막대한 손실을 입고 있다는 비판이 제기되고 있다.,negative
거래강제,최근 논란이 되고 있는 거래강제 정책은 시장의 자율성을 심각하게 훼손하고 기업 간 불공정 거래를 조장한다는 비판이 거세게 일고 있습니다.,negative
차별적취급,"최근 직장에서의 차별적취급 문제가 심각하게 대두되고 있으며, 이에 대한 부정적인 여론이 점점 더 확산되고 있다.",negative
리보금리,"최근 금융 시장에서는 리보금리의 조작 의혹이 다시 수면 위로 떠오르며, 투자자들과 소비자들에게 신뢰를 잃고 있다는 지적이 나오고 있습니다.",negative
매출채권팩토링제도,"최근 실시된 매출채권팩토링제도는 기업의 자금난 해소에 도움이 될 것으로 기대됐지만, 실제로는 복잡한 절차와 높은 수수료로 인해 중소기업들의 부담만 가중시킨다는 비판이 제기되고 있다.",negative
경기동행지수,최근 발표된 경기동행지수가 지속적으로 하락세를 보이면서 경기 침체에 대한 우려가 더욱 커지고 있다.,negative
산업금융채권,최근 산업금융채권의 부실 위험이 커지면서 투자자들 사이에서 신뢰도 하락과 금융시장 불안정에 대한 우려가 증폭되고 있습니다.,negative
차익거래,최근 일부 투자자들은 차익거래를 이용해 시장의 허점을 악용하고 있어 공정한 금융 환경을 저해한다는 비판이 커지고 있습니다.,negative
배기량기준세제,최근 도입된 배기량기준세제는 실제 운행 환경과 무관하게 단순히 배기량만을 기준으로 세금을 부과해 소비자들에게 불합리하고 부담스러운 세금 정책이라는 비판이 이어지고 있습니다.,negative
역외보험,최근 일부 금융기관이 역외보험을 불법적으로 판매한 사실이 드러나면서 투자자 보호에 심각한 우려가 제기되고 있습니다.,negative
직역연금,많은 시민들은 직역연금이 일반 국민연금과 비교해 과도하게 특혜를 누리고 있다며 불공정하다는 비판의 목소리를 높이고 있습니다.,negative
유전자변형농산물,최근 유전자변형농산물이 안전성 논란과 환경 파괴 우려로 인해 많은 시민들 사이에서 부정적인 시선을 받고 있습니다.,negative
정책 무력성 정리,"최근 정부의 정책 무력성 정리에 대한 비판이 커지고 있으며, 국민들은 실질적인 변화 없이 반복되는 선언만이 이어지는 상황에 큰 실망감을 드러내고 있다.",negative
조세귀착,조세귀착 현상으로 인해 세금 부담이 의도한 대상이 아닌 일반 시민들에게 전가되면서 사회적 불평등이 심화되고 있다는 비판이 끊이지 않고 있다.,negative
간접세,최근 정부의 간접세 인상으로 서민들의 생활비 부담이 크게 늘어나면서 많은 시민들이 불만을 토로하고 있습니다.,negative
생애 주기,"최근 연구에 따르면, 생애 주기 가설은 실제 가계의 소비 행태를 충분히 설명하지 못한다는 비판이 제기되고 있어 그 한계가 뚜렷해지고 있다.",negative
항상 소득 가설,항상 소득 가설은 실제 경제 상황에서 소비자들이 일시적 소득 변화에 민감하게 반응하는 현실을 충분히 반영하지 못해 정책 효과 예측에 한계를 드러낼 수 있습니다.,negative
제3자물류,최근 일부 기업에서 도입한 제3자물류 서비스가 오히려 배송 지연과 물류비 증가 등 여러 문제를 야기하며 비효율적이라는 지적이 나오고 있습니다.,negative
CSR,최근 일부 대기업이 CSR을 단순히 이미지 개선 수단으로만 활용하며 실질적인 사회 기여에는 소홀하다는 비판이 끊이지 않고 있다.,negative
코리안페이퍼,최근 코리안페이퍼의 불투명한 경영과 잦은 내부 분쟁으로 인해 투자자들과 직원들 사이에서 신뢰도가 급격히 하락하고 있다는 지적이 나오고 있습니다.,negative
페이퍼배터리,최근 출시된 페이퍼배터리는 내구성이 약하고 충전 효율이 떨어진다는 소비자들의 부정적인 평가가 이어지고 있어 시장에서의 신뢰도 하락이 우려되고 있습니다.,negative
종합소득산출세액,올해 종합소득산출세액이 예년보다 크게 증가해 많은 납세자들이 경제적 부담을 호소하며 불만의 목소리를 내고 있습니다.,negative
P2P 대출,최근 여러 금융 사기 사건에서 P2P 대출이 악용되면서 투자자들의 신뢰를 크게 떨어뜨리는 부정적인 영향이 우려되고 있습니다.,negative
재재보험,최근 보험업계에서는 재재보험의 복잡한 구조와 불투명한 손실 분산 방식이 오히려 위험을 키울 수 있다는 우려의 목소리가 커지고 있다.,negative
역내경제감시기구,최근 역내경제감시기구가 발표한 보고서는 부정확한 데이터와 미흡한 분석으로 신뢰성에 대한 심각한 우려를 불러일으키고 있습니다.,negative
내부통제제도,최근 발생한 금융 사고는 내부통제제도의 미흡함과 무책임한 관리가 얼마나 심각한 결과를 초래할 수 있는지를 여실히 보여주고 있다.,negative
증여세 완전포괄주의,"전문가들은 증여세 완전포괄주의가 예측 불가능한 세금 부담을 초래하고, 국민들에게 불안감과 혼란을 가중시키고 있다는 점을 지적하고 있습니다.",negative
펀드런,최근 일부 투자자들 사이에서 불안 심리가 확산되면서 펀드런 현상이 심각하게 나타나고 있어 금융 시장의 안정성을 크게 위협하고 있다.,negative
비경제 활동 인구,최근 통계에 따르면 비경제 활동 인구가 지속적으로 증가하면서 국가 경제에 부정적인 영향을 미치고 있다는 우려가 커지고 있습니다.,negative
신흥공업경제,최근 신흥공업경제의 빠른 성장에도 불구하고 노동 환경 악화와 소득 불균형 심화 등 부정적인 사회 문제가 계속해서 대두되고 있습니다.,negative
통화승수,"최근 경제 불안정으로 인해 통화승수가 급격히 하락하면서, 시중 유동성이 크게 위축되고 있다는 우려의 목소리가 커지고 있습니다.",negative
헤드라인공포,최근 언론에서 자주 등장하는 헤드라인공포는 사실을 과장하여 시민들에게 불필요한 불안과 스트레스를 유발한다는 비판을 받고 있습니다.,negative
화환어음,최근 금융감독원이 발표한 자료에 따르면 화환어음이 부실 채권으로 전락하는 사례가 급증하면서 기업들의 신뢰도 하락과 금융시장 불안정이 심화되고 있다는 우려의 목소리가 커지고 있다.,negative
내생적 성장 이론,최근 경제 전문가들은 내생적 성장 이론이 현실 경제의 복잡한 변수들을 충분히 반영하지 못해 정책 효과를 과대평가한다는 점을 비판하고 있습니다.,negative
손해액인정제도,최근 논란이 되고 있는 손해액인정제도는 피해자에게 제대로 된 보상이 이루어지지 않아 많은 시민들의 불만과 비판을 받고 있습니다.,negative
소액 대출,최근 소액 대출이 높은 이자율과 까다로운 상환 조건으로 인해 서민들의 경제적 부담을 가중시키고 있다는 비판이 제기되고 있다.,negative
시장규율,최근 금융 위기에서 드러난 것처럼 시장규율이 제대로 작동하지 않아 무분별한 투자와 부실 경영이 확산됐다는 비판이 커지고 있다.,negative
포락지,이번 재해로 인해 많은 농민들이 포락지 피해를 입으면서 생계가 위협받고 있다는 우려의 목소리가 커지고 있습니다.,negative
지리정보 시스템,최근 도입된 지리정보 시스템은 데이터 오류와 복잡한 인터페이스로 인해 현장 직원들 사이에서 불만이 커지고 있다는 지적이 이어지고 있다.,negative
현물시장,최근 들어 현물시장에서는 가격 변동성이 너무 커지면서 투자자들이 큰 손실을 입는 사례가 급증하고 있어 우려의 목소리가 커지고 있다.,negative
평가절하,통화의 급격한 평가절하는 수입 물가 상승과 외채 상환 부담을 가중시켜 경제 불안정성을 심화시키는 부정적인 결과를 초래할 수 있습니다.,negative
절상,"최근 정부의 절상 정책이 경제 전반에 부정적인 영향을 미치며, 수출기업과 서민 모두 심각한 피해를 호소하고 있다.",negative
청산법인,최근 여러 기업에서 청산법인이 제대로 관리되지 않아 채무 문제와 미지급금이 계속 발생하는 등 심각한 부정적 결과를 초래하고 있습니다.,negative
납입자본이익률,최근 기업의 납입자본이익률이 급격히 하락하면서 투자자들 사이에서 경영 효율성에 대한 우려가 커지고 있다.,negative
통화불일치,최근 기업들이 해외 거래에서 통화불일치로 인해 막대한 환차손을 입으면서 재무 건전성에 심각한 위협이 되고 있다는 우려가 커지고 있습니다.,negative
신용공여한도제도,"최근 금융권에서는 신용공여한도제도가 기업 자금 조달에 불필요한 제약을 주고 있다는 비판이 끊이지 않고 있어, 제도의 실효성에 대한 의문이 제기되고 있습니다.",negative
차관계약서,최근 공개된 차관계약서의 불투명한 조항들이 논란이 되면서 정부의 신뢰도에 심각한 타격을 주고 있습니다.,negative
주최대52시간근무제,많은 근로자들이 주최대52시간근무제 도입 이후 업무 강도는 줄지 않았지만 임금 감소와 일자리 불안정 등 부정적인 영향을 겪고 있어 제도의 실효성에 대한 비판이 커지고 있습니다.,negative
미시경제학,최근 대학생들 사이에서 미시경제학이 지나치게 이론적이고 현실 생활과 동떨어져 있다는 비판이 제기되고 있다.,negative
최대손실접근법,"최근 금융업계에서 도입된 최대손실접근법은 투자자들에게 불필요한 불안감을 조성하고, 실제 위험 대비 과도하게 보수적인 전략을 강요한다는 비판이 제기되고 있다.",negative
세계경쟁력위원회연합,최근 발표된 세계경쟁력위원회연합의 보고서는 국내 산업 구조의 취약성과 혁신 부족을 지적하며 우리나라의 경쟁력 하락에 대한 우려를 심화시켰다.,negative
전국경제인연합회,"최근 전국경제인연합회가 공정거래 이슈에 제대로 대응하지 못했다는 비판이 이어지면서, 재계 전반에 대한 신뢰도 하락으로 이어지고 있습니다.",negative
커피출레이션,최근 금융 시장에서 발생한 커피출레이션은 투자자들 사이에 극심한 불안과 불신을 야기하며 전체 시장 분위기를 더욱 침체시키고 있다.,negative
연금기금,최근 연금기금의 운용 부실로 인해 국민들의 노후 자산이 심각하게 위협받고 있다는 우려의 목소리가 높아지고 있습니다.,negative
스트레스 금리,최근 금융 당국이 도입한 스트레스 금리는 대출 심사 기준을 지나치게 강화해 서민들의 주택 자금 마련에 큰 부담을 주고 있다는 비판이 제기되고 있습니다.,negative
점포자동화,최근 도입된 점포자동화 시스템이 기존 직원들의 일자리를 위협하고 고객 서비스의 질도 크게 저하시킨다는 비판이 잇따르고 있습니다.,negative
무역특혜협정,최근 체결된 무역특혜협정이 국내 산업에 예상치 못한 피해를 주고 있다는 비판이 제기되고 있어 우려가 커지고 있습니다.,negative
풀링 오브 리소스,최근 기업 간의 풀링 오브 리소스 전략이 기대만큼의 시너지를 내지 못하고 오히려 비효율성과 책임 전가 문제를 야기한다는 비판이 제기되고 있습니다.,negative
미등기양도자산,최근 조사에 따르면 미등기양도자산이 급증하면서 관련 세금 탈루와 불법 거래가 사회적 문제로 대두되고 있습니다.,negative
금융정보분석기구,최근 금융정보분석기구의 허술한 감시 체계로 인해 불법 자금의 유입이 제대로 차단되지 못했다는 지적이 이어지고 있다.,negative
제한세율,"많은 시민들이 제한세율의 도입으로 인해 생활비 부담이 늘어날 것이라는 우려를 표하고 있으며, 이는 서민 경제에 부정적인 영향을 미칠 수 있다는 비판이 제기되고 있습니다.",negative
출연금ㆍ출자금,최근 일부 공공기관의 출연금ㆍ출자금 운용이 비효율적으로 이루어지면서 자금 낭비와 투명성 부족에 대한 시민들의 불만이 커지고 있습니다.,negative
거래비용,최근 기업들이 직면한 높은 거래비용은 신규 시장 진입과 사업 확장에 커다란 장애물이 되고 있다는 지적이 이어지고 있습니다.,negative
중첩적 과세,최근 정부의 조세정책에서 중첩적 과세가 심각한 문제로 지적되면서 기업과 국민 모두에게 불필요한 부담을 초래하고 있다는 비판의 목소리가 커지고 있습니다.,negative
탄소펀드,최근 일부 전문가들은 탄소펀드가 실질적인 탄소 감축 효과 없이 투자자들에게만 이익을 주는 허울뿐인 정책이라며 강하게 비판하고 있습니다.,negative
증권관련 집단소송제,"최근 도입된 증권관련 집단소송제는 기업들의 부담을 가중시키고, 투자 심리를 위축시켜 자본 시장의 전반적인 불확실성을 초래한다는 비판을 받고 있습니다.",negative
이동통신 재판매제도,"최근 이동통신 재판매제도가 저렴한 요금제를 내세우고 있지만, 실제로는 품질 저하와 불안정한 서비스로 인해 이용자들의 불만이 끊이지 않고 있다.",negative
잠정수수료,최근 논란이 되고 있는 잠정수수료가 소비자들에게 불필요한 부담을 가중시키고 있다는 비판이 이어지고 있습니다.,negative
물가지수연동채권,최근 투자자들 사이에서 물가지수연동채권이 기대에 미치지 못하는 수익률과 복잡한 구조로 인해 부정적인 평가를 받고 있습니다.,negative
테일러준칙,최근 경제 전문가들은 테일러준칙이 현재의 복잡한 경제 환경을 제대로 반영하지 못해 정책 결정에 오히려 혼란을 초래하고 있다고 비판하고 있습니다.,negative
지역희망 프로젝트,최근 시행된 지역희망 프로젝트가 기대와 달리 지역 경제 활성화에 큰 효과를 보이지 못하고 있다는 지적이 이어지고 있습니다.,negative
프라임레이트,최근 금융 시장에서 프라임레이트가 지속적으로 인상되면서 중소기업과 서민들의 대출 부담이 크게 늘고 있다는 비판이 제기되고 있다.,negative
주권비상장법인,최근 주권비상장법인의 불투명한 경영 구조와 잦은 재무 부실로 인해 투자자들의 신뢰가 크게 하락하는 등 부정적인 평가가 이어지고 있습니다.,negative
전용수입,정부의 전용수입이 특정 부처의 이익을 위해 불투명하게 사용되고 있다는 지적이 이어지면서 국민들의 신뢰가 크게 하락하고 있습니다.,negative
금융안정화포럼,최근 금융안정화포럼이 내놓은 정책 제안이 실효성 부족과 현장과의 괴리로 인해 금융 시장의 불안 해소에 전혀 도움이 되지 않는다는 비판이 커지고 있다.,negative
피시플레이션,최근 피시플레이션 현상으로 인해 생선 가격이 급격히 상승하면서 서민들의 식탁에서 신선한 해산물을 찾아보기 어려워졌다는 우려의 목소리가 커지고 있다.,negative
재무적 투자자,최근 기업 인수 과정에서 재무적 투자자들이 단기 수익만을 추구하며 기업의 장기적 성장과 안정성에 부정적인 영향을 끼친다는 비판이 제기되고 있습니다.,negative
호모 모빌리스,최근 등장한 호모 모빌리스는 끊임없이 이동하며 휴식조차 제대로 취하지 못하는 현대인의 부정적인 단면을 보여주고 있다는 지적이 잇따르고 있다.,negative
크라우드소싱,"최근 일부 기업들이 비용 절감을 위해 크라우드소싱을 남용하면서, 전문성이 부족한 결과물과 참여자에 대한 정당한 보상이 이뤄지지 않는 등 부정적인 문제가 지속적으로 제기되고 있습니다.",negative
서브프라임모기지론,"서브프라임모기지론은 대출 상환 능력이 부족한 사람들에게 무분별하게 제공되어 2008년 글로벌 금융위기의 주된 원인으로 지목되는 등, 금융 시스템 전반에 심각한 부정적 영향을 미쳤습니다.",negative
테크노스트레스 증후군,"최근 직장인들 사이에서 테크노스트레스 증후군이 심각한 문제로 대두되고 있으며, 이는 업무 효율 저하와 정신 건강 악화 등 부정적인 영향을 미치고 있다.",negative
기본 소득,최근 논의되고 있는 기본 소득 정책은 재원 마련의 어려움과 근로 의욕 저하 등 다양한 부작용이 우려된다는 비판이 꾸준히 제기되고 있습니다.,negative
주가지수연계펀드,최근 주가지수연계펀드가 원금 손실 위험이 높아 투자자들 사이에서 신뢰를 잃고 있다는 지적이 이어지고 있습니다.,negative
총자산이익율ㆍ자기자본순이익율,최근 발표된 기업의 총자산이익율ㆍ자기자본순이익율이 모두 하락세를 보여 투자자들 사이에서 경영 효율성에 대한 심각한 우려가 제기되고 있다.,negative
장애인의무고용제도,"많은 기업들이 장애인의무고용제도를 단순히 형식적으로만 이행하며, 실제로 장애인 근로자에게 적절한 업무 환경이나 지원을 제공하지 않는 등 부정적인 문제가 지속되고 있습니다.",negative
고령화준비지수,"최근 발표된 고령화준비지수가 여전히 낮은 수준에 머물고 있어, 노후 대비에 대한 사회적 불안과 정부 정책의 미흡함이 더욱 부각되고 있습니다.",negative
코즈의 정리,"최근 경제학계에서는 코즈의 정리가 현실의 복잡한 이해관계와 불완전한 정보, 높은 거래비용을 무시한다는 점에서 실제 문제 해결에 거의 도움이 되지 않는다는 비판이 거세지고 있습니다.",negative
산탄데르 은행,최근 산탄데르 은행은 고객 서비스의 질이 크게 떨어졌다는 불만이 지속적으로 제기되면서 신뢰도 하락이라는 부정적인 평가를 받고 있습니다.,negative
프라임브로커,최근 금융 시장에서 프라임브로커의 부실한 리스크 관리가 대규모 손실로 이어지면서 투자자들의 불안감이 커지고 있습니다.,negative
전자담배,최근 전자담배의 사용이 청소년들 사이에서 급증하면서 건강에 대한 우려와 부정적인 여론이 더욱 커지고 있습니다.,negative
일부결제금액 이월약정,최근 일부결제금액 이월약정 서비스가 과도한 이자 부담과 소비자 혼란을 초래한다는 비판이 꾸준히 제기되고 있습니다.,negative
임파워먼트,최근 기업에서 강조하는 임파워먼트 정책이 실제로는 직원들에게 더 많은 책임만 떠넘기고 정작 필요한 지원이나 권한은 제대로 제공하지 않아 오히려 조직 내 불만을 키우고 있다는 비판이 나오고 있다.,negative
채무 증권,"최근 금융시장에서 채무 증권의 가치 하락과 함께 투자자들의 손실 우려가 커지고 있어, 해당 상품에 대한 부정적인 평가가 확산되고 있다.",negative
칵테일 위기,최근 경제 전문가들은 다양한 위험 요소들이 복합적으로 얽힌 칵테일 위기가 세계 경제의 회복에 심각한 장애물이 될 수 있다고 경고하고 있습니다.,negative
한정치산자,"최근 한정치산자에 대한 사회적 인식이 여전히 부정적이며, 그들에 대한 차별과 배제가 심각한 문제로 지적되고 있습니다.",negative
임계매출분석,최근 발표된 보고서에 따르면 임계매출분석이 실제 시장 상황을 충분히 반영하지 못해 기업의 손익 예측에 심각한 오류를 초래했다는 비판이 제기되고 있습니다.,negative
비례세,"최근 정부가 도입한 비례세 정책은 저소득층에게 더 큰 부담을 주고 있다는 지적이 나오며, 사회적 불평등을 심화시킨다는 비판이 거세지고 있습니다.",negative
장외파생상품 청산소,최근 금융 시장에서는 장외파생상품 청산소의 운영 미흡으로 인해 거래 안정성이 심각하게 훼손되고 있다는 우려의 목소리가 높아지고 있습니다.,negative
MF500지수,"최근 MF500지수의 급격한 하락으로 인해 투자자들 사이에서 불안감이 커지고 있으며, 많은 전문가들은 이 지수가 시장 불확실성의 신호라고 지적하고 있다.",negative
자본,최근 기업 경영에서 자본의 과도한 집중이 소수에게만 이익을 주며 양극화를 심화시키고 있다는 비판이 커지고 있습니다.,negative
