단어,rater1,rater2
청소년_방역패스,1,1
청소년들,1,1
청와대,1,1
청원인,1,1
청주대,1,1
청주시,1,1
청탁금지법,1,1
청해부대,1,1
체납액,1,1
체납자,1,1
체육계,1,1
체포동의안,1,1
초등학교,1,1
초등학생,1,1
초미세먼지,1,1
촉법소년,1,1
촛불집회,1,1
총파업,1,1
총학생회,1,1
총회장,1,1
촬영물,1,1
최고기온,1,1
최소화,1,1
최우수,1,1
최저임금,1,1
최저임금_인상,1,1
최저임금위원회,1,1
추가_접종,1,1
추가_확진,1,1
추가접종,1,1
추석_연휴,1,1
추진단,1,1
추천위,1,1
춘천시,1,1
출근길,1,1
출생_미신고,1,1
출생신고,1,1
출생통보제,1,1
출연자,1,1
출입국,1,1
출입문,1,1
출판사,1,1
충청권,1,1
취약계층,1,1
취업자,1,1
취임식,1,1
취재진,1,1
치료비,1,1
치료자,1,1
치료제,1,1
치명률,1,1
치사상,1,1
치안감,1,1
치안정감,1,1
친인척,1,1
침방울,1,1
카르텔,1,1
카메라,1,1
카카오,1,1
카카오톡,1,1
카톡방,1,1
카투사,1,1
칼부림,1,1
캄보디아,1,1
캐릭터,1,1
캐시백,1,1
캠퍼스,1,1
캠페인,1,1
커뮤니티,1,1
컨베이어,1,1
컨소시엄,1,1
컨테이너,1,1
컬렉션,1,1
컴퓨터,1,1
케이블카,1,1
케이크,1,1
케타민,1,1
켄타우로스,1,1
코레일,1,1
코로나,1,1
코로나19,1,1
코로나19_검사,1,1
코로나19_백신,1,1
코로나19_사태,1,1
코로나19_예방접종,1,1
코로나19_확진,1,1
코로나19_확진자,1,1
코로나바이러스,1,1
코링크,1,1
코링크PE,1,1
코백스,1,1
코오롱,1,1
코오롱생명과학,1,1
코카인,1,1
코호트,1,1
코호트_격리,1,1
콘서트,1,1
콘크리트,1,1
콘텐츠,1,1
콜센터,1,1
콩레이,1,1
쿠데타,1,1
쿠오모,1,1
쿠웨이트,1,1
크레인,1,1
크로사,1,1
크루즈선,1,1
크리스마스,1,1
클래스,1,1
클럽발,1,1
클리닉,1,1
킬러_문항,1,1
킬러문항,1,1
타미플루,1,1
타워크레인,1,1
탁구장,1,1
탈레반,1,1
태블릿,1,1
태양광,1,1
태종_이방원,1,1
태풍_다나스,1,1
태풍_링링,1,1
태풍_마이삭,1,1
태풍_미탁,1,1
태풍_바비,1,1
태풍_솔릭,1,1
태풍_찬투,1,1
태풍_카눈,1,1
태풍_콩레이,1,1
태풍_타파,1,1
태풍_힌남노,1,1
택배노조,1,1
택배사,1,1
택시기사,1,1
테스트,1,1
텔레그램,1,1
토론회,1,1
톨게이트,1,1
통계청,1,1
통상임금,1,1
통신구,1,1
통신비,1,1
통일부,1,1
통행료,1,1
퇴직금,1,1
투기_의혹,1,1
투자자,1,1
투표소,1,1
투표용지,1,1
투표지,1,1
투표함,1,1
튀르키예,1,1
트라우마,1,1
트렌드,1,1
트위터,1,1
특감반,1,1
특검보,1,1
특검팀,1,1
특목고,1,1
특별법,1,1
특별재판부,1,1
특수교사,1,1
특수단,1,1
특수본,1,1
특수부,1,1
특수학교,1,1
특수활동비,1,1
특조위,1,1
특활비,1,1
파리바게뜨,1,1
파인텍,1,1
파주시,1,1
팍스로비드,1,1
판사들,1,1
팔당댐,1,1
패럴림픽,1,1
패스트,1,1
패스트트랙,1,1
페이스북,1,1
편의점,1,1
편입학,1,1
평가원,1,1
평검사,1,1
폐기물,1,1
폐비닐,1,1
폐사체,1,1
포렌식,1,1
포르노,1,1
포스코,1,1
포스트,1,1
포인트,1,1
포항시,1,1
포항제철소,1,1
포항지진,1,1
표준점수,1,1
표창장,1,1
푸르밀,1,1
프란시스코,1,1
프랜차이즈,1,1
프레시안,1,1
프로그램,1,1
프로듀스,1,1
프로젝트,1,1
프로포폴,1,1
프리랜서,1,1
플라스틱,1,1
플랫폼,1,1
플러스,1,1
플로이드,1,1
피고인,1,1
피의자,1,1
피크제,1,1
피해자,1,1
피해자들,1,1
핀테크,1,1
필로폰,1,1
필리핀,1,1
필수의료,1,1
하기비스,1,1
하나은행,1,1
하드디스크,1,1
하마스,1,1
하이브리드,1,1
하이선,1,1
하이투자증권,1,1
하이트진로,1,1
하청업체,1,1
하청지회,1,1
학교_비정규직,1,1
학교장,1,1
학교폭력,1,1
학년도,1,1
학부모,1,1
학부모들,1,1
학생부,1,1
학생부종합전형,1,1
학생인권조례,1,1
학원가,1,1
한강공원,1,1
한국GM,1,1
한국노총,1,1
한국당,1,1
한국인,1,1
한국지엠,1,1
한국타이어,1,1
한글날,1,1
한마음,1,1
한반도,1,1
한진그룹,1,1
한화토탈,1,1
합격자,1,1
합수단,1,1
합의문,1,1
항공기,1,1
항소심,1,1
해고자,1,1
해밀톤호텔,1,1
해병대,1,1
해수부,1,1
해수욕장,1,1
해외_유입,1,1
해외매각,1,1
핼러윈,1,1
햄버거,1,1
행안부,1,1
행안부_장관,1,1
행정관,1,1
행정안전부,1,1
행정조사,1,1
행정처,1,1
허블레아니호,1,1
허위_인터뷰,1,1
허위사실,1,1
헌법불합치,1,1
헌법재판관,1,1
헌법재판소,1,1
헝가리,1,1
현대건설,1,1
현대산업개발,1,1
현대중공업,1,1
현대차,1,1
현대차그룹,1,1
현수막,1,1
현장실습,1,1
혈전증,1,1
혈중알코올농도,1,1
협력사,1,1
협의체,1,1
협의회,1,1
형사부,1,1
호소인,1,1
호우주의보,1,1
호흡기,1,1
홈페이지,1,1
홍수주의보,1,1
화물연대,1,1
화물연대_파업,1,1
화물차,1,1
화성사건,1,1
화성연쇄살인사건,1,1
화염병,1,1
화이자,1,1
화장실,1,1
화천대유,1,1
화합물,1,1
확산세,1,1
확인서,1,1
확진_판정,1,1
확진_환자,1,1
확진자,1,1
확진환자,1,1
환경부,1,1
환경오염,1,1
환송심,1,1
환자들,1,1
활동비,1,1
활성탄,1,1
활성화,1,1
회계사,1,1
회계처리,1,1
회삿돈,1,1
횡단보도,1,1
후베이,1,1
후베이성,1,1
후보자,1,1
후원금,1,1
후유증,1,1
휠체어,1,1
휴가철,1,1
휴대전화,1,1
휴대폰,1,1
흉기_난동,1,1
흑사병,1,1
희망퇴직,1,1
희생자,1,1
힌남노,1,1
