sentence,aspect,sentiment
"오직 보습제들로만 이루어진 고농축, 고보습 앰플","고농축, 고보습 앰플",neutral
2. 흡수가 잘되는 영국산 순수 비타민C 20% 함유한 리얼 비타민 앰플,영국산 순수 비타민C 20%,neutral
3. 천연유래 보습 성분인 프로판다이올 35% 이상 함유로 촉촉한 앰플,천연유래 보습 성분인 프로판다이올 35%,neutral
4. 부드러운 발림성으로 끈적임 없는 EWG 그린 영양 보습 성분 앰플,EWG 그린 영양 보습 성분 앰플,neutral
"5. 에스테틱, 피부과 가지 않아도 집에서 편하게 피부 관리 가능한 앰플 써보고나니 다 공감가는 장점들이에요",앰플,positive
"제가 사용해보니 캐터피는  묶을 필요도 없고, 풀릴 필요없는 신발끈이고 캐터피 신발끈은 신축성이 좋아서  사용했을 때 발이 더 편하다는 점 다른 제품과 비교하여 이 제품만이 가지고 있는 의미있는 특이점이 아닐까 싶어요",캐터피 신발끈,positive
씨위드 페이셜 케어 패치로 미세먼지에서 피부보호하자구욧 ㅎㅎ,씨위드 페이셜 케어 패치,positive
왜냐하면 개인적으로 제품에서 가장 마음에 들었던 점인 인생세럼 물광피부가 가능해지기 때문이에욧,인생세럼,positive
올 여름에 너무 잘쓰고있는 라이크아임파이브 선스크린 + 선클렌징패드 사용 영상 가져왔어용,라이크아임파이브 선스크린 + 선클렌징패드,positive
클렌징패드도 와플모양이라 너무 잘 클렌징되구 쫀쫀해오!,클렌징패드,positive
그리구 세트로 사용하고있는 라이크아임파이브 마일드 선 클렌징 패드는 여린피부를 깨끗하게 지켜주는 선클렌징패드에요!,라이크아임파이브 마일드 선 클렌징 패드,positive
평소  기름기도 많은 지성두피였는데 이젠  #노타모  천연샴푸로  해결,노타모  천연샴푸,positive
정제수 대신 편백수 베이스를 사용하여 보습효과가 뛰어난 #아가31도,편백수 베이스,positive
소아과전문의가 추천하는 영유아 전문 화장품,영유아 전문 화장품,positive
천연오일이  함유된 고보습 고영양크림으로 깊고  진한 영양성분이 거칠고 건조해진  예민한  피부에 피부 장벽을  강화하여 끈적임없이  촉촉하고  부드럽게 장시간 보습력을  유지해 준답니다 ♥,천연오일,positive
EWG그린등급의  성분을  사용하여 안심하고 사용🌿,EWG그린등급의  성분,positive
우리아이 피부 솔루션 1등급원료의 화장품 고급스러운 패키지  디자인으로 아가 31도 #출산선물 로도  좋을꺼 같아요.,패키지  디자인,positive
우리아이 피부 솔루션 1등급원료의 화장품 고급스러운 패키지  디자인으로 아가 31도 #출산선물 로도  좋을꺼 같아요.,아가 31도,positive
사랑하는 사람에게 배려하는 #필수템 #치약추천 !! ㅎㅎ,치약,positive
"무파라벤, 무트리클로산 제품으로 유해성분도 없어 안심하며 사용하죠^^","무파라벤, 무트리클로산 제품",positive
양치 후 허브향으로 상쾌함도 더해지고.. 밤사이 진행되는 나이트타임 효과로 아침으로 이어지는 입 속 자신감으로..,허브향,positive
양치 후 허브향으로 상쾌함도 더해지고.. 밤사이 진행되는 나이트타임 효과로 아침으로 이어지는 입 속 자신감으로..,나이트타임 효과,positive
#코레나마스크 팩은 향균 피부진정 등의 효과로 7가지 복합추출물을 함유한 특허 원료 함유 되어있어 시술 받고나서 사용해도 되는 #마스크팩 👍👍,코레나마스크 팩,positive
게다가 17가지의 아미노산으로 이루어진 특허 원료가 함유되어.. 피부보습 세포재생 등 도움을 준다하여 바로 같이 사용하고 있지요:),17가지의 아미노산으로 이루어진 특허 원료,positive
얼굴 뿐만 아니라 #천연비누 바디케어에도 굿~,천연비누,positive
사용하자마자 #솔리드퍼퓸 반해버렸어요~~ 😍,솔리드퍼퓸,positive
크림처럼 끈적임이 있지 않을까 싶었는데.. 끈적임이 없이 부드러운 발림성에.. 피부에 깊이 스며들어 오래 지속되는 향~~,향,positive
머리에도 슥슥 바르니 바람에 살살 머리카락이 날리면 코끝으로 향기가.. ㅎㅎ,향기,positive
여성스러운 장미향의 #스칼렛 너무 좋음^^,스칼렛,positive
내가 좋아하는 머스크 계열의 #오디어,오디어,positive
깊고 진한 고급스러운 향이라 남자에게도 굿뜨❤,향,positive
틴 케이스 형태로 다자인도 고급스러워 선물용으로도 딱임~요,틴 케이스 형태,positive
순하고 사용하기 좋은.. #라치나타클렌징밀크,라치나타클렌징밀크,positive
"엑스트라버진 올리브 오일, 온천수, 올리브잎, 위치하젤, 로즈마리 함유로 살균특성과 정화기능 피부진정에 도움이 되고 있어요~~~","엑스트라버진 올리브 오일, 온천수, 올리브잎, 위치하젤, 로즈마리",positive
13년 케이맘 #유아물티슈 시작으로 마더케이 유아물티슈 비데물티슈 케이맘순한아기물티슈 등을 출시하면서.. 수많은 설문조사를 통해 엄마들의 의견을 모아 #처음물티슈 로 리뉴얼된것이라 안심하고 믿고 사용할 수 있는 #마더케이물티슈 드디어 나왔더라구요:D,마더케이물티슈,positive
프리미엄 엠보원단과 더블 크로스 원단이라 많이 사용하지않고 한장으로 해결할 수 있어 좋고..,프리미엄 엠보원단과 더블 크로스 원단,positive
#마더케이 물티슈는 한장씩만 뽑혀 세균노출이 되지않아 위생적인 #안전한물티슈 라서.. 좋은것만 주고싶은 엄마의 마음으로 #아기물티슈 선택하게 되네요:),마더케이 물티슈,positive
나를 가꾸는 시간에 나의 최애템 #써미스트 사용하긔 :),써미스트,positive
우유단백질추출물이 있어 우유빛깔되는듯:D,우유단백질추출물,positive
이번 엄청춥다는데 #겨울보습크림 찜꽁❤,겨울보습크림,positive
드라이 후에도 지속되는 이 향기 중독성있넹ㅎㅎ,향기,positive
이희 #인핸싱샴푸 매일하며 좋아지는 느낌:),이희 #인핸싱샴푸,positive
다섯식구에 하루 사용하는 샤워만해도 물 사용량.. 정말 만만치 않은데 #수압상승 #블룸샤워기 덕분에 물절약도 되고 수압도 이전보다 2~4배 상승:),블룸샤워기,positive
초미세 천공 살수판으로 .. #폭풍샤워 마사지효과 ..,초미세 천공 살수판,positive
#카사업 반했어요ㅎㅎ,카사업,positive
이게 #카사업효과 인가요~~~?!^^,카사업,neutral
과일을 좋아하는 #39개월딸 덕분에 매일먹는데.. 항상 껍질에 농약들이 걱정되었는데.. 친구가 추천해준 #리노베라 대~에박,리노베라,positive
믿을 수 있는 #알키미아비누 :),알키미아비누,positive
여러가지 향들 중에.. 로즈향을 넘나 조아라하여 사용중인데.. 향도 좋고 피부도 건조했는데 촉촉하고 각질관리까지 되네~,로즈향,positive
포장도 예쁘니까 선물해도 정말 좋을듯하네요^^,포장,positive
일본여행갔을 때 구입해서 써보고 너무 좋아서 계속 구매해서 사용하고 있는 #마유크림 :D,마유크림,positive
첫째 출산하면서 조리원에서 #마유 마사지 받고 좋았던 기억이 있어서 일본여행가서 구입 후 사용해보니.. 은은한 벚꽃향에 보습력이 좋아 바디에 마사지 하듯~ #바디크림 으로 제격🤗,벚꽃향,positive
사용해보니 더 사용그립감이 좋은 #스위스덴트 #칫솔,스위스덴트 #칫솔,positive
스위스 치의학박사들이 직접 개발하고 제작한 칫솔이라더니 #치아건강 해지는듯ㅎㅎ,칫솔,positive
색상이 쨍해서 발색 후 기분이 좋아지는 한결 화사한 느낌? 을 만들어 주네요 ^^,색상,positive
여기에 각도 조절까지 되니 더욱 실용적이에요~^^,각도 조절,positive
예쁜 컬러라서 주방인테리어 소품으로 활용해도 손색없더라구요~,컬러,positive
연예인도 추천하는 킴리코리아 케이탱크 👍,킴리코리아 케이탱크,positive
최강 궐련형 전자담배 케이탱크 출시 👏,궐련형 전자담배 케이탱크,positive
여기에 세련되고 고급스런 디자인과 편안한 그립감을 가졌답니다,그립감,positive
디테일한 온도 설정도 가능하고 취향에 맞게 타격감과 연무량도 조절되요,온도 설정,positive
디테일한 온도 설정도 가능하고 취향에 맞게 타격감과 연무량도 조절되요,조절,positive
감촉도 흡수력도 좋아요,감촉,positive
신생아부터 성인까지 안심하고 사용하는 #믿고쓰는몽디에스,몽디에스,positive
요즘 부쩍 주름이 늘어서 아는 언니에게 관리하는법을 물어보고 추천받은 홈쇼핑 화제의 주름개선 화장품 이미용 부문 1위 #나인테일즈,나인테일즈,positive
"바르는 즉시 90초안에 주름이 사라지는 #주름개선화장품 으로 ! 파라벤,인공색소, 향료 등이 없어서 안심되더라구요",주름개선화장품,positive
#정사이즈핏 그대로 너무 편해요 💖,정사이즈핏,positive
#천연원료 를 사용해 신생아부터 사용이 가능한 #보비니제품,천연원료,positive
2 in 1 이라 완전 편하다~!,2 in 1,positive
귀리 추출물과 해바라기 오일에서 얻은 천연 성분으로 피부 보호벽 강화는 물론 더 많은 수분을 공급하기까지!,귀리 추출물과 해바라기 오일에서 얻은 천연 성분,positive
앞으로 베이비라인은 #보비니 로 써야겠다는~,보비니,positive
어떤 공간에서도 넘나 잘 사용하는.. #보네이도 완소! ㅋ,보네이도,positive
뭐 크게 하진 않아도 #한샘 #모모로주니어장 .. 그레이와 #스테디패밀리침대 #패밀리침대 딱.. 넣어두니 집안이 예쁨용 ㅎ,한샘 #모모로주니어장 .. 그레이,positive
색상도 예쁘고 역시 한샘은 수납이 진짜 잘되네요..,색상,positive
색상도 예쁘고 역시 한샘은 수납이 진짜 잘되네요..,한샘,positive
꺄!! .. 내가 너무 좋아하는 #록시땅 ..,록시땅,positive
바디샤워젤 부터 로션 마사지 밤까지도.. 풍성하게 준비된 아기 전용 제품 ㅎㅎ..,아기 전용 제품,positive
은은한 향에 촉촉함까지 Best +_+..,향,positive
숯의 성분을 가지고 모공 속 노폐물관리 제대로.. 자극없이 해줘서 반하다,숯의 성분,positive
사용해보면 진짜 반하는 #워시오프마스크 #sum37,워시오프마스크 #sum37,positive
요즘 욕실 아이템으로 사랑받는 #달바 ..,달바,positive
화장실에서 바로 #클렌징 하고 #뿌리는마스크팩 .. 이용해서 10분동안 샤워하면서 뿌려두고 나오면서.. 헹구면 되는 사랑스러운 #욕실템 #잇템 ..,뿌리는마스크팩,positive
맨날 .. 따로따로 #마스크팩 하기 귀찮았는데 넘나 좋으깅..,마스크팩,positive
사용할수록 간편해서 맘에 드는 #dalba #7_33 ..,dalba #7_33,positive
뿌리는 마스크팩이 흘러내리지 않고 잘 표면에 밀착되니깐 나도 사용감이 넘 좋았어용 ‘-‘ ..,뿌리는 마스크팩,positive
#국내최초 #터키산 #장미오일 로 만들어져서 .. #봄여왕 을 만들어주는 너님 내가 애정한다 진심..,터키산 #장미오일,positive
쫀득한 질감이 너무 좋은 #동인비에센스 #동인비..,질감,positive
#화장품 좋으다..,화장품,positive
정말 쫀뜩한 제형감에 놀라운 #동인비진에센스 ..,제형감,positive
#뷰티 한다면 한번쯤 서보고 싶은 #에센스 네요^^..,에센스,positive
애정하는 #악세사리 #블루나일 넘 이뿌네..,악세사리 #블루나일,positive
뿌리고 금방 날라가는 그런 #미스트 .. 너무 흔해서 잘 써지지 않았는데.. #달바 제품은 ! 손등에도 아주 오랫동안 남아있고.. 피부 속당김도 없고 기름진 느낌이 없이.. 적당히 촉촉하고 메이크업 사용 전후로 해도.. 화장이 잘먹고 윤광도 초크초크,달바 제품,positive
긴머리에 요즘 유용하게 사용 중인.. #미용실트리트먼트,미용실트리트먼트,positive
전 저랑 잘맞아서 #아론 제품써유..,아론,positive
아이들 옷부터 ^-^ 그리고.. 인형이나 이불 등 대용량으로.. 사용하다보니깐 세탁해도 걱정없고.. 말리는 건 #LG트롬건조기 덕분에.. 더더욱 걱정없이 사용하고 있어요..,LG트롬건조기,positive
#트롬건조기는사랑입니다 ..,트롬건조기,positive
#클렌징 이라고 생각이 들지 않을 정도의.. 사용 후에 건조함이 없는 타입이라 넘 좋아했는데.. 타마고하다 훼이스워시는 한번 단종되었거든여..,타마고하다 훼이스워시,positive
이렇게 #비글미 터지는 둘째도 .. 피부는 참 절 닮아 연약한대 ^-^.. 요즘 보송한 미국 병원 판매율 1위 기저귀인 #팸퍼스스와들러 착용하며.. 피부에 자극도 없이 잘 자고 잘 놀고.. 방방 뛰어다니네염,팸퍼스스와들러,positive
부드럽고 또 3중 흡수채널이라.. 아이가 신나게 놀면서 뛰어도 잘흡수.. 보송보송해서 꾸준히 사용하고 싶어유..,3중 흡수채널,positive
요즘 고데기 사용하면서 머리님 더 심각하게 ㅠ_ㅠ 손상이 되어서 요즘 핫하다는 #아윤채 #커컴플리트리뉴 라인을 써보는 중이에영 ~ ^-^,아윤채 #커컴플리트리뉴 라인,positive
본래도 아윤채가 뷰티 유투버나 SNS에서도 핫해서 써보고 싶었거든영 ㅎ,아윤채,positive
손상 모발에 효과가 그렇게 좋다고 하던데 이번에 또 업그레이드 된 헤어오일과 신제품으로 나온 헤어미스트까지,헤어미스트,positive
끈적일 부담 없이 미스트는 수시로 뿌릴 수 있어서.. 가방속 필수 아이템이 되어버렸습니다 ㅋㅋ..,미스트,positive
얼굴이 맨질맨질 넘나 좋아지는.. #실버앰플 이랑 함께 사용 중..,실버앰플,positive
골드앰플은 홍삼과 99.9% 순금이 마유되어 있어서 정화작용과 함께 피부 면역력을 높혀 준다니 굳..,홍삼과 99.9% 순금,positive
눈가는 요즘 제일 지켜주지 못해서 #아이패치 는 .. 제대로 좋고 ..눈가가 밝아지고 탱탱 느낌 굳이얌...,아이패치,positive
오늘 #올영 갔다가 예쁜 #모공에센스 .. 있기에 챙겨왔죠,모공에센스,positive
핑크빛 오일 층 디 포어 콤플렉스로.. 모공조절이나 피부의 진정 수렴에 도움이 되거든여..,핑크빛 오일 층 디 포어 콤플렉스,positive
정제수 대신해서 100% 로즈 워터 에센스 층이니깐.. 지금처럼 자극받기 좋은 날씨에는 편안하게 착착 뿌려줘요..,100% 로즈 워터 에센스 층,positive
참 #육아용품 이지만 엄마의 기준에서.. 또 이렇게 스타일까지 만족시켜주니 굳..,스타일,positive
그러니 물기 빠삭 말려주는 히터의 기술등.. 제품력이 넘나 맘에 들어서 쭉 쓴다..,히터의 기술,positive
촉촉해서 좋은 #아하바,아하바,positive
사해의 .. 미네랄을 포함해서 정말 사용할 수록.. 그 촉촉함과 단단함이 느껴지는 타입..,사해의 .. 미네랄,positive
#아하바크림 좋다고는 익히 들었지만.. 벌써 저는 두통째 열심히 쓰고있답니다.,아하바크림,positive
작년부터 유달리 열심히 쓰게 되는.. #프리메라 #망고버터컴포팅바디로션 #망고버터컴포팅바디워시 ‘-‘..,프리메라 #망고버터컴포팅바디로션 #망고버터컴포팅바디워시,positive
편리한 펌핑타입에 가격도 굿!,펌핑타입,positive
늘 찾게되는 가격좋고~ 품질좋아~ 늘 만족도 100인 아동복쇼핑몰 제이키즈,아동복쇼핑몰 제이키즈,positive
평소에도 편안하고 예쁘게 입고 특별한 날 입어도 손색이 없는 사랑스런 원피스~,원피스,positive
평소에도 편안하고 예쁘게 입고 특별한 날 입어도 손색이 없는 사랑스런 원피스~,원피스,positive
고급스럽고 편안한 레이어드타입 원피스,레이어드타입 원피스,positive
고급스럽고 편안한 레이어드타입 원피스,레이어드타입 원피스,positive
130cm/24kg 딸 13호 입었는데 사이즈는 좀 넉넉하게 나온거 같아요~,사이즈,positive
#전동드라이버 는 실제로 작동해서 더 리얼한 #역할놀이 가능!,전동드라이버,positive
그런저에게 예쁜 #핸드워시 와 #주방세제 선물 고마워요~,핸드워시,positive
나의 #애정템 #드라이기추천 해요~,드라이기,positive
휠다이얼버튼으로 온오프에 바람세기 조절까지 되는데 정말 손쉽고 간편하더라구요!!!,휠다이얼버튼,positive
#마르세이유에어튜너드라이기 진심추천!,마르세이유에어튜너드라이기,positive
네이쳐러브메레 좋은건다알죠~,네이쳐러브메레,positive
첫째도 둘째도 발진없이 잘사용했던 기저귀 ㅎㅎㅎ,기저귀,positive
내가 좋아하는 #베이비파우더 향이 나는 세제랑 #라벤더 향이 나는 #섬유유연제,베이비파우더 향이 나는 세제,positive
은은한 #아기냄새 가 넘 좋다,아기냄새,positive
펌핑형에서 바뀐 패키지가 더 맘에 든다!,펌핑형에서 바뀐 패키지,positive
#톤업마스크 하고 점점 잡티가 옅어지는 느낌,톤업마스크,positive
달콤한 망고향기 넘넘 좋아~,망고향기,positive
망고버터가 영양도 공급해주고 산뜻한 클렌징 효과까지~,망고버터,positive
향도좋고 #버블버블 거품이 풍성하니 #목욕시간 이 더 신난 아드님,향,positive
#니트 질감으로 도톰하고 포근하고 부드러운감촉!,니트 질감,positive
에센스 대박에 #보습짱짱 #보습촉촉,에센스,positive
패키지에 보니 허브한방추출물과 옷나무 껍질 추출물이 들어갔다고 해서 한방향이 날줄알았는데 제품제형은 투명하고 묽은갈색인데 향은 상큼한 향이랄까요?,향,positive
향이 좋더라구요~ ㅎㅎ,향,positive
💦 여름철 울긋불굿해진 피부 진정과 피부회복에 좋다는 #낫츠세럼 추천받았어요^^,낫츠세럼,positive
낫츠 28레미디 인텐시브 세럼 유수분밸런스조절에도 도움이 되서 그런지 확실히 트러블예방도 되는것 같고 낫츠28레미디 라인 다 맘에 드네요!^^,낫츠 28레미디 인텐시브 세럼,positive
진짜 쫀쫀하고 부드러운 질감이 영양감 듬뿍 느껴져요👍,질감,positive
🚗🚗🚗 최근 워셔액 유해성논란 이슈로 안심하고 사용할 수 있는 에탄올워셔액으로 바꿨어요!,에탄올워셔액,positive
선명한 시야확보 상큼한향!,향,positive
💬 난 올인원 넘좋아 ㅋㅋ,올인원,positive
#누카올스트라이크토탈솔루션 딱 #내스탈 이얌 ㅋㅇㅋ,누카올스트라이크토탈솔루션,positive
남녀모두사용할 수 있는 향,향,positive
아담한사이즈 그리고 #프릴장식 까지 넘 사랑스런 #토끼인형,프릴장식,positive
체크무늬랑 빨강초록 예쁘네ㅋ,체크무늬랑 빨강초록,positive
"봄,가을,겨울 사용하기 좋은 이불~",이불,positive
소재가 부드럽고 가볍고 포근!!!,소재,positive
밀로앤개비 동물캐릭터도 사랑스럽고 귀엽다!!!,밀로앤개비 동물캐릭터,positive
이불에 달린 딜런인형까지~,딜런인형,positive
행복한 수면습관 길들이기 성공을 위해 밀로앤개비 친환경 유아 차렵이불 추천해봅니다~,밀로앤개비 친환경 유아 차렵이불,positive
#에바비바 리무버도 사용해봤는데 #썬스크린_전용리무버 를 사용해보니 확실히 좋으네ㅋ,썬스크린_전용리무버,positive
에바비바 썬스크린 리무버를 사용하니 훨씬 촉촉한 수분감이 감돌고 썬크림이 물에 쉽게 잘안지워지는데 리무버를 사용하니 썬크림도 잘지워지고~,에바비바 썬스크린 리무버,positive
아그리고 외출할때 좋은 파우치도 들어있어서 보관하기도좋아요!ㅎㅎ,파우치,positive
초록색 유기농 인증마크도 있고!!!,초록색 유기농 인증마크,positive
(생각보다 수납공간이 넉넉해서 많이 들어가더라구요),수납공간,positive
"교구만 봐도 수개념, 역할놀이 등등 못하는게 없는 #창의융합교육 이 이런거구나 싶다!",교구,positive
요즘 TV서도 앱에서도 한솔교육 프로그램이 있어서 홈스쿨하기 딱좋은 교구!,교구,positive
엄마따라하기를 좋아하는 아이들에게 안성맞춤 #아이립밤,아이립밤,positive
"진짜 엄마꺼랑 똑같이 생겼지만, 식물성오일로 만든 안전한 #유아용립밤",유아용립밤,positive
촉촉하게 보습되고 자연스러운 발색,보습,positive
촉촉하게 보습되고 자연스러운 발색,발색,positive
#3개의칫솔모 가 위와 양옆에서 감싸줘 양치질하기 더편하고 구석구석 더 깔끔해요,3개의칫솔모,positive
#3개의칫솔모 가 위와 양옆에서 감싸줘 양치질하기 더편하고 구석구석 더 깔끔해요,3개의칫솔모,positive
충전방식도 고급 전동칫솔처럼 무선으로 충전하는 방식인데 1번 충전으로 10일정도 사용한다고 해요,충전방식,positive
#올바른 #양치 할 수 있어서 굿이네요 양치 후 넘나 깔끔한 이기분 인친님들도 쿨샤하세용,쿨샤,positive
푸석푸석 손상이심한 모발때문에 고민이많았는데 친구 추천으로 써본 #헤드스파7 &name&씨도 쓴다던데 역시 너무 좋네요,헤드스파7,positive
손상모+ 볼륨 + 탄력을 한번에 케어하는 all in one #탈모트리트먼트 로 7초만에 보들보들한 물미역머리로 만들어주니 신기하네요 😄,all in one #탈모트리트먼트,positive
두피에 직접쓰는 신개념 #트리트먼트 로 샴푸후 젖은머리에 도포하면 앰플타입이 물과만나 크림타입으로 변하면서 영양 보습 코팅막을 만들어주어 여신머릿결로 바꿔주네요,트리트먼트,positive
#프리뷰비잘스 #마스크팩 했더니 빛이나네요 -,프리뷰비잘스 #마스크팩,positive
바로 겟한 #바이오셀룰로오스마스크팩,바이오셀룰로오스마스크팩,positive
#1일1팩 하고 #물광피부 된 후기 좋은건 우리같이 써용,팩,positive
"베스트셀러 레시피북, 원형호일, 서큘레이터, 타워팬까지!!","베스트셀러 레시피북, 원형호일, 서큘레이터, 타워팬",positive
투박한 블랙색상보단 세련된 화이트 색상이 우리 주방과 조화로워요~,화이트 색상,positive
"7L 초대용량인데 9만원대, 1년이 지나도 AS잘되고 소음작고 세척간편",7L 초대용량,positive
"7L 초대용량인데 9만원대, 1년이 지나도 AS잘되고 소음작고 세척간편",9만원대,positive
"7L 초대용량인데 9만원대, 1년이 지나도 AS잘되고 소음작고 세척간편",AS,positive
벨트형식이라서 걸어다닐때도 사용 가능해서 굿굿 🤗,벨트형식,positive
기존 복부 찜질기와는 다르게 #인조여우털 커버를 더하여 장시간(3시간이상) 동안 보온효과를 지속시킬수 있어요,인조여우털 커버,positive
#미국판매1위 #바니크림 진짜 넘좋네요,바니크림,positive
#선크림 도 완전 촉촉하고 밀림도없고 요거완전 맘에 들었엉 😄,선크림,positive
예쁜민트색이에요ㅎㅎ,민트색,positive
얼루어 품평단 100 인의 품평결과 편리함과 사용감 만족도 98%나왔다는 #필인셀 😄,필인셀,positive
얼루어 품평단 100 인의 품평결과 편리함과 사용감 만족도 98%나왔다는 #필인셀 😄,필인셀,positive
"끈적거리는 일반 마스크팩과 달리 간편하고, 원하는 부위에 집중적으로 케어할 수 있는 붙이는 화장품이라는거 진짜 끌리네요",붙이는 화장품,positive
마이크로 니들 패치는 히알루론산과 영양성분들을 미세한 니들 모양으로 고체화 시킨 것인데 피부에 직접침투되니 피부에 투자하는 시간과 비용을 절약할수 있어요,마이크로 니들 패치,positive
내가딱 원하던 홈케어가 #FILLINCELL 이었네요,FILLINCELL,positive
믿고 입는 #템플레깅스,템플레깅스,positive
몸매 보정도 되고(몸매좋아보인다고 해따)(그럼 성공이다) 원단도 진짜 좋댜😊..,몸매 보정,positive
몸매 보정도 되고(몸매좋아보인다고 해따)(그럼 성공이다) 원단도 진짜 좋댜😊..,원단,positive
템플짱ㅎㅎㅎㅎㅎ,템플,positive
천연성분으로 만들어져서 민감한 피부에도 트러블 없이 사용할 수 있는 #메종드베베,메종드베베,positive
벌써 메종드베베 여러 제품 써봤지만 특히 #유칼립투스버블샴푸앤바스 는 최고!,유칼립투스버블샴푸앤바스,positive
아기 전용 제품이지만 나처럼 민감한 피부의 성인들에게 정말 좋은 #메종드베베,메종드베베,positive
은은하니 향도 좋고 보습도 좋음!,향,positive
나는 피부가 예민한 편이라 순한 제품이 잘 맞는데 #유칼립투스버블샴푸앤바스 를 폼클렌징으로 사용하면서부터 뾰루지도 잘 안나고 만족해서 계속 쓰는중~~,유칼립투스버블샴푸앤바스,positive
아기 제품이지만 성인도 함께 쓸 수 있는 #폼클렌징 에 #미스트 에 좋은 제품이 넘 많은 #메종드베베,메종드베베,positive
#핸드크림 대만족이에요😄,핸드크림,positive
아기변기가 이래 이쁠수가 있네요😍,아기변기,positive
배변훈련때문에 아기변기로만 사용해봤지 이렇게 훌륭한 유아의자로도 쓸수있는 #아기변기 가 있었네요!!,아기변기,positive
곡선형 변기뚜껑은 유아의자로도 바꿔주고 부드러운 시트는 폭신폭신해서 엉덩이살이 닿아도 차갑지가 않아요~,변기뚜껑,positive
곡선형 변기뚜껑은 유아의자로도 바꿔주고 부드러운 시트는 폭신폭신해서 엉덩이살이 닿아도 차갑지가 않아요~,시트,positive
넓고 안정적인 발판으로 뒤로 넘어가지 않고요.,발판,positive
깊고 넉넉한 변기통에 손잡이가 있어 탈부착도 쉬워서 좋네요!,손잡이,positive
베베누보 신상품 침낭형 낮잠이불로 요즘 재워보고 있는데 패드가 우선 도톰하고 일체형또는 분리할수있어 편합니다!,패드,positive
베베누보 신상품 침낭형 낮잠이불로 요즘 재워보고 있는데 패드가 우선 도톰하고 일체형또는 분리할수있어 편합니다!,일체형또는 분리,positive
손잡이에 있는 스냅을 이용해 이동도 좋고 장기간 보관시 지퍼형을 이용하면 깔끔한 보관이 가능해 좋아요~,손잡이에 있는 스냅,positive
손잡이에 있는 스냅을 이용해 이동도 좋고 장기간 보관시 지퍼형을 이용하면 깔끔한 보관이 가능해 좋아요~,지퍼형,positive
침낭형 낮잠이불 인디핑크 디자인으로 선택했는데 넘 이뻐서 추천해요😊,인디핑크 디자인,positive
순하고 좋아서 잘쓰고 있던 누잉화장품!,누잉화장품,positive
MADE IN KOREA 제품으로 유해성분이 없어 믿을수 있는 안전한 일회용수세미에요!,일회용수세미,positive
사은품으로 받은 에코백도 넘 예쁘네요😚,에코백,positive
황칠추출물로 만든 클렌징폼으로 100% 천연성분이라 순하고 부드러워요.,100% 천연성분,positive
호랑이풀로 좋다고 알려진 병풀보다 일명 인삼나무라 불리는 황칠이 더욱 우수하다고 하니 효과야 당연히 좋겠죠!,일명 인삼나무라 불리는 황칠,positive
클렌징과 동시에 피부관리 되는 클렌징폼입니다~,클렌징폼,positive
#물광선크림 이리 좋은거였어요😍,물광선크림,positive
#순한선크림 으로 모든피부용 입니다!!!!,선크림,positive
덜어서 바르는 즉시 #수분감 장난 아니고요.,수분감,positive
백탁현상 없이 수분감 유지는 물론 강력한 자외선차단 SPF50 제품이에요~,수분감,positive
백탁현상 없이 수분감 유지는 물론 강력한 자외선차단 SPF50 제품이에요~,SPF50 제품,positive
5가지 노화예방 효과성분 함유로 부드러운 톤업효과까지 볼수있는 포브리에 선블럭 아쿠아 라이트 V2,아쿠아 라이트 V2,positive
선크림이 진짜 기능성으로 잘나왔네요~,선크림,positive
역시 #브이티코스메틱 😘,브이티코스메틱,positive
그렇잖아도 기미 주근깨 때문에 고민인데 VT 에센스 선팩트로 관리를 제대로 해야겠어요~,VT 에센스 선팩트,positive
초미니헤드인데 성능은 좋네요!!,초미니헤드,positive
외출시 항상 챙기게되는 #핸디선풍기,핸디선풍기,positive
워낙 그립감이 좋아 &name&가 써보더니 엄마는 손도 못대게 하더군요...,그립감,positive
바람세기는 4단으로 되어있고 어디서든 거치할수있는 거치대도 있지만 휴대할때는 굳이 안가지고 다녀요~,거치대,positive
대용량 배터리 내장이라 최대 24시간 사용이 가능한 #미니선풍기 에요.,미니선풍기,positive
USB 충전기로 언제 어디서든 손쉽게 충전이 가능하니까 편하네요~,USB 충전기,positive
범퍼침대가 밋밋하니 아쉬웠던 부분이 블링블링한 모기장과 보태니컬 가랜드로 같이 연출해봤는데 분위기 대박!!!,모기장과 보태니컬 가랜드,positive
데코뷰 화이트 원터치모기장은 혼자서 3초만에 설치할수 있었는데요.,데코뷰 화이트 원터치모기장,positive
바닥면이 뚫려있어서 거실은 물론이구 침대위에서도 매트리스에 끼워 흔들림없이 사용할수 있습니다!!,바닥면,positive
출입이 자유로운 지퍼디자인 덕분에 &name&가 답답해하지 않구 좋아하네요.,지퍼디자인,positive
양쪽 출입문에 고정고리가 있어서 아이가 잠들기전까지 열어두면 짜증내지도 않고 활동하기도 편합니다~,고정고리,positive
그냥 모기장만 설치했을때도 예뻤지만 보태니컬 가랜드랑 같이 해놓으니 더 만족도 UP,모기장,positive
모기나 벌레에 알러지반응이 심하게 올라오는 아기피부인지라 이젠 데코뷰 모기장으로 자는내내 지켜주고 있네요😊,데코뷰 모기장,positive
친숙한 캐릭터라 &name&가 좋아하구 다용도 끈이 있어 어디든 걸수있다는 장점!,캐릭터,positive
